category,ingredient,purchase_form,process_basis,default_yield_pct,default_loss_pct,cooked_yield_factor,default_allergens,confidence,notes
Λαχανικά,Καρότο,ολόκληρο,καθάρισμα/άκρες,0.82,0.18,—,—,Μέση,Με καλό αποφλοιωτή μπορεί 85–90%.
Λαχανικά,Κολοκύθι,ολόκληρο,άκρες/κοπή,0.92,0.08,—,—,Μέση,Αν αφαιρούνται σπόρια σε μεγάλα κολοκύθια: χαμηλότερο.
Λαχανικά,Μελιτζάνα,ολόκληρη,κοτσάνι/κοπή,0.9,0.1,—,—,Μέση,Για ψητή/τηγανητή απορροφά λάδι· αυτό δεν είναι φύρα αλλά πρόσθετο κόστος.
Λαχανικά,Μανιτάρια λευκά,ολόκληρα,καθάρισμα/trim,0.9,0.1,—,—,Μέση,Αγορά κομμένα/καθαρισμένα: 95–100%.
Λαχανικά,Μπρόκολο,κεφάλι,κοπή ανθών/αφαίρεση σκληρού κοτσανιού,0.6,0.4,—,—,Χαμηλή-Μέση,Αν χρησιμοποιείται και κοτσάνι σε σούπες/πουρέ: 70–80%.
Λαχανικά,Κουνουπίδι,κεφάλι,κοπή ανθών/φύλλα/κοτσάνι,0.58,0.42,—,—,Χαμηλή-Μέση,Με αξιοποίηση κοτσανιού μπορεί να ανέβει.
Λαχανικά,Λάχανο λευκό,κεφάλι,εξωτερικά φύλλα/κοτσάνι,0.82,0.18,—,—,Μέση,Για coleslaw συνήθως 80–88%.
Λαχανικά,Μαρούλι,κεφάλι,εξωτερικά φύλλα/καρδιά/ρίζα,0.72,0.28,—,—,Μέση,Ανά ποιότητα μπορεί 60–85%.
Λαχανικά,Romaine / Cos,κεφάλι,εξωτερικά φύλλα/ρίζα,0.78,0.22,—,—,Μέση,Συνήθως καλύτερη απόδοση από μαρούλι butter/loose.
Λαχανικά,Σπανάκι,φύλλα/μάτσο,καθάρισμα κοτσανιών/πλύσιμο,0.75,0.25,—,—,Μέση,Baby spinach σακούλα: 95–100%.
Λαχανικά,Σέλινο,μάτσο,ρίζες/φύλλα/σκληρά μέρη,0.7,0.3,—,ALG_CELERY,Μέση,Allergen flag πάντα για σέλινο/προϊόντα του.
Λαχανικά,Πράσο,ολόκληρο,ρίζα/σκληρό πράσινο/καθάρισμα,0.55,0.45,—,—,Μέση,Ανάλογα με χρήση πράσινου μέρους.
Λαχανικά,Παντζάρι,ολόκληρο,φλούδα/κοτσάνια,0.8,0.2,—,—,Μέση,"Αν χρησιμοποιούνται φύλλα, υπολόγισε ξεχωριστά."
Λαχανικά,Κολοκύθα,ολόκληρη,φλούδα/σπόρια,0.65,0.35,—,—,Μέση,Μεγάλη διαφοροποίηση ανά ποικιλία.
Μυρωδικά,Μαϊντανός,μάτσο,καθάρισμα χοντρών κοτσανιών,0.65,0.35,—,—,Μέση,"Αν χρησιμοποιείται ψιλοκομμένο φύλλο μόνο, 55–70%."
Μυρωδικά,Άνηθος,μάτσο,χοντρά κοτσάνια,0.6,0.4,—,—,Μέση,Υψηλή φύρα λόγω κοτσανιών.
Μυρωδικά,Βασιλικός,μάτσο/γλάστρα,φύλλα μόνο,0.5,0.5,—,—,Χαμηλή-Μέση,Για pesto με τρυφερά κοτσάνια μπορεί να αυξηθεί.
Φρούτα,Λεμόνι,ολόκληρο,χυμός,0.35,0.65,—,—,Μέση,"Για χυμό μόνο. Αν χρησιμοποιείται ξύσμα, βάλτε by-product credit/extra yield."
Φρούτα,Πορτοκάλι,ολόκληρο,χυμός,0.45,0.55,—,—,Μέση,Για φιλέτα χωρίς μεμβράνες: 45–55%.
Φρούτα,Μήλο,ολόκληρο,καθάρισμα/κουκούτσια,0.78,0.22,—,—,Μέση,Με φλούδα: 85–90%.
Φρούτα,Μπανάνα,ολόκληρη με φλούδα,αφαίρεση φλούδας,0.66,0.34,—,—,Μέση,Ανά μέγεθος/ωριμότητα 60–70%.
Φρούτα,Αβοκάντο,ολόκληρο,φλούδα/κουκούτσι,0.68,0.32,—,—,Μέση,Ανά μέγεθος κουκουτσιού 60–75%.
Φρούτα,Καρπούζι,ολόκληρο,φλούδα,0.55,0.45,—,—,Μέση,"Αν κόβεται σε κύβους χωρίς σπόρια, χαμηλότερο."
Φρούτα,Πεπόνι,ολόκληρο,φλούδα/σπόρια,0.55,0.45,—,—,Μέση,Ανά ποικιλία 50–65%.
Φρούτα,Σταφύλι,τσαμπί,κοτσάνι,0.92,0.08,—,—,Μέση,"Αν αφαιρούνται κουκούτσια, χαμηλότερο."
Φρούτα,Ρόδι,ολόκληρο,σπόρια,0.5,0.5,—,—,Χαμηλή-Μέση,Μεγάλη διαφοροποίηση ανά ποικιλία.
Κρέας/Πουλερικά,Κοτόπουλο στήθος με κόκαλο,bone-in,αφαίρεση κόκαλου/δέρματος,0.68,0.32,cook 0.72–0.80,—,Μέση,Για costing καθαρού ωμού φιλέτου. Ψήσιμο εφαρμόζεται δεύτερο στάδιο.
Κρέας/Πουλερικά,Κοτόπουλο στήθος φιλέτο,boneless skinless,trim,0.95,0.05,cook 0.72–0.80,—,Μέση,"Ωμό EP σχεδόν πλήρες, μαγειρική απώλεια ξεχωριστά."
Κρέας/Πουλερικά,Κοτόπουλο μπούτι με κόκαλο,bone-in,ξεκοκάλισμα/δέρμα,0.62,0.38,cook 0.70–0.78,—,Μέση,"Αν σερβίρεται με κόκαλο, άλλη λογική portion."
Κρέας/Πουλερικά,Κοτόπουλο ολόκληρο,whole,καθαρό ωμό κρέας χωρίς κόκαλα,0.55,0.45,cook 0.68–0.78,—,Χαμηλή-Μέση,"Αν πουλάς/σερβίρεις με κόκαλο, μην χρησιμοποιείς αυτό το yield."
Κρέας/Πουλερικά,Μοσχάρι φιλέτο/μπριζόλα χωρίς κόκαλο,boneless,trim,0.9,0.1,cook 0.70–0.85,—,Μέση,Cook yield ανά βαθμό ψησίματος.
Κρέας/Πουλερικά,Μοσχάρι με κόκαλο,bone-in steak/roast,ξεκοκάλισμα/trim,0.7,0.3,cook 0.68–0.82,—,Χαμηλή-Μέση,Ανά κοπή μεταβάλλεται πολύ.
Κρέας/Πουλερικά,Κιμάς,χύμα/συσκευασμένος,χωρίς trim,1.0,0.0,cook 0.65–0.80,—,Μέση,Μαγειρική απώλεια λίπους/υγρών ανά περιεκτικότητα.
Κρέας/Πουλερικά,Χοιρινός λαιμός/σπάλα χωρίς κόκαλο,boneless,trim,0.9,0.1,cook 0.65–0.80,—,Μέση,Για slow cooking μπορεί μεγάλη απώλεια υγρών/λίπους.
Κρέας/Πουλερικά,Χοιρινή πανσέτα,whole/slab,trim,0.95,0.05,cook 0.60–0.75,—,Μέση,Υψηλή μαγειρική απώλεια λίπους.
Κρέας/Πουλερικά,Αρνί μπούτι με κόκαλο,bone-in,ξεκοκάλισμα/trim,0.7,0.3,cook 0.60–0.75,—,Χαμηλή-Μέση,"Αν σερβίρεται με κόκαλο, υπολόγισε edible portion διαφορετικά."
Ψάρια/Θαλασσινά,Ψάρι ολόκληρο,whole gutted/scaled,φιλέτο χωρίς κόκαλα,0.45,0.55,cook 0.75–0.85,ALG_FISH,Χαμηλή-Μέση,Ανά είδος/μέγεθος 35–55%.
Ψάρια/Θαλασσινά,Φιλέτο ψαριού,fillet,skin/trim,0.92,0.08,cook 0.75–0.88,ALG_FISH,Μέση,"Αν έχει δέρμα/κόκαλα, χαμηλότερο."
Ψάρια/Θαλασσινά,Σολομός φιλέτο με δέρμα,fillet skin-on,trim/δέρμα αν αφαιρείται,0.88,0.12,cook 0.78–0.88,ALG_FISH,Μέση,"Αν σερβίρεται με δέρμα, yield 95–98%."
Ψάρια/Θαλασσινά,Γαρίδα με κέλυφος,shell-on headless,καθάρισμα κελύφους,0.65,0.35,cook 0.80–0.88,ALG_CRUSTACEANS,Μέση,Με κεφάλι: μπορεί 45–55%.
Ψάρια/Θαλασσινά,Γαρίδα καθαρισμένη,peeled,χωρίς φύρα,0.98,0.02,cook 0.80–0.88,ALG_CRUSTACEANS,Μέση,Ελάχιστο trim.
Ψάρια/Θαλασσινά,Καλαμάρι ολόκληρο,whole,καθάρισμα,0.65,0.35,cook 0.65–0.80,ALG_MOLLUSCS,Μέση,Αν αγοράζεται καθαρισμένο: 90–98%.
Ψάρια/Θαλασσινά,Μύδια με κέλυφος,shell-on,ψίχα,0.25,0.75,cook included,ALG_MOLLUSCS,Χαμηλή-Μέση,Μεγάλη διαφοροποίηση ανά μέγεθος/εποχή.
Ξηρά/Βάσεις,Ρύζι,ξηρό,μαγείρεμα απορρόφησης,1.0,0.0,finished 2.7–3.2x,—,Μέση,"Το cooked yield είναι αύξηση βάρους από νερό, όχι φύρα."
Ξηρά/Βάσεις,Ζυμαρικά ξηρά,dry pasta,βράσιμο,1.0,0.0,finished 2.2–2.6x,ALG_GLUTEN,Μέση,Gluten εκτός αν πιστοποιημένα gluten-free.
Ξηρά/Βάσεις,Κριθαράκι,ξηρό,βράσιμο,1.0,0.0,finished 2.3–2.7x,ALG_GLUTEN,Μέση,Σιμιγδάλι/σιτάρι.
Ξηρά/Βάσεις,Όσπρια ξηρά,dry,μούλιασμα/βράσιμο,0.98,0.02,finished 2.2–2.8x,—,Μέση,Αφαίρεση ξένων σωμάτων/σπασμένων κόκκων.
Ξηρά/Βάσεις,Αλεύρι σίτου,σακί,χωρίς φύρα,1.0,0.0,—,ALG_GLUTEN,Υψηλή,"Για αλεύρι χωρίς γλουτένη, ο allergen flag αλλάζει ανά σύνθεση."
Ξηρά/Βάσεις,Φρυγανιά/τριμμένη,συσκευασία,χωρίς φύρα,1.0,0.0,—,ALG_GLUTEN,Υψηλή,Μπορεί επίσης να περιέχει γάλα/σουσάμι ανά ετικέτα.
Γαλακτοκομικά,Φέτα,μπλοκ/δοχείο,στράγγισμα/κοπή,0.96,0.04,—,ALG_MILK,Μέση,"Αν τιμολογείται με άλμη, καταγράψτε καθαρό βάρος τυριού."
Γαλακτοκομικά,Τυρί κίτρινο φέτες,συσκευασία,χωρίς φύρα,1.0,0.0,—,ALG_MILK,Υψηλή,Ελέγξτε ετικέτα για άλλα αλλεργιογόνα.
Γαλακτοκομικά,Βούτυρο,συσκευασία,χωρίς φύρα,1.0,0.0,—,ALG_MILK,Υψηλή,
Γαλακτοκομικά,Κρέμα γάλακτος,λίτρο,χωρίς φύρα,1.0,0.0,—,ALG_MILK,Υψηλή,
Αυγά,Αυγό με κέλυφος,τεμάχιο,σπάσιμο/κέλυφος,0.88,0.12,—,ALG_EGGS,Μέση,Αν αγοράζεται υγρό παστεριωμένο αυγό: 100%.
Λίπη/Έλαια,Ελαιόλαδο,λίτρο/δοχείο,χωρίς φύρα,1.0,0.0,—,—,Υψηλή,Χρησιμοποίησε density αν μετατρέπεται ml↔g.
Λίπη/Έλαια,Ηλιέλαιο,λίτρο/δοχείο,χωρίς φύρα,1.0,0.0,—,—,Υψηλή,Ελέγξτε αν υπάρχει πιθανή cross-contact δήλωση.
Άλλα αλλεργιογόνα,Ταχίνι,βάζο,χωρίς φύρα,1.0,0.0,—,ALG_SESAME,Υψηλή,Σουσάμι.
Άλλα αλλεργιογόνα,Μουστάρδα,βάζο,χωρίς φύρα,1.0,0.0,—,ALG_MUSTARD,Υψηλή,Μπορεί να περιέχει θειώδη/άλλα ανά ετικέτα.
Άλλα αλλεργιογόνα,Σάλτσα σόγιας,μπουκάλι,χωρίς φύρα,1.0,0.0,—,ALG_SOY; ALG_GLUTEN,Υψηλή,Πολλές κοινές soy sauces έχουν σιτάρι. Tamari gluten-free μόνο αν πιστοποιείται.
Άλλα αλλεργιογόνα,Κρασί,λίτρο,χωρίς φύρα,1.0,0.0,—,ALG_SULPHITES,Μέση,"Θειώδη αν >10 mg/L ως SO₂, συχνό σε οίνους."
Άλλα αλλεργιογόνα,Ξύδι,λίτρο,χωρίς φύρα,1.0,0.0,—,ALG_SULPHITES,Μέση,Εξαρτάται από προϊόν/ετικέτα.
Άλλα αλλεργιογόνα,Ξηροί καρποί,ψίχα,χωρίς κέλυφος,1.0,0.0,—,ALG_NUTS,Υψηλή,"Αν αγοράζεται με κέλυφος, χρειάζεται ξεχωριστό yield."
